topico,fecha,diario,seccion,freq
copitos,2022-09-07,perfil,economia,0
odio,2022-09-07,perfil,economia,0
copitos,2022-09-07,perfil,espectaculos,0
odio,2022-09-07,perfil,espectaculos,0
copitos,2022-09-07,perfil,politica,0
odio,2022-09-07,perfil,politica,7
copitos,2022-09-07,perfil,internacional,0
odio,2022-09-07,perfil,internacional,0
copitos,2022-09-07,perfil,deportes,0
odio,2022-09-07,perfil,deportes,0
copitos,2022-09-07,casarosada,alberto,0
odio,2022-09-07,casarosada,alberto,0
copitos,2022-09-07,perfil,policiales,0
odio,2022-09-07,perfil,policiales,0
copitos,2022-09-07,lanacion,espectaculos,0
odio,2022-09-07,lanacion,espectaculos,0
copitos,2022-09-07,lanacion,deportes,0
odio,2022-09-07,lanacion,deportes,0
copitos,2022-09-07,ambito,economia,0
odio,2022-09-07,ambito,economia,0
copitos,2022-09-07,ambito,sociedad,0
odio,2022-09-07,ambito,sociedad,0
copitos,2022-09-07,paginadoce,rosario12,0
odio,2022-09-07,paginadoce,rosario12,0
copitos,2022-09-07,clarin,rural,0
odio,2022-09-07,clarin,rural,0
copitos,2022-09-07,eldestape,politica,1
odio,2022-09-07,eldestape,politica,5
copitos,2022-09-07,eldestape,economia,0
odio,2022-09-07,eldestape,economia,0
copitos,2022-09-07,infobae,internacional,0
odio,2022-09-07,infobae,internacional,2
copitos,2022-09-07,infobae,tendencias,0
odio,2022-09-07,infobae,tendencias,0
copitos,2022-09-07,infobae,inhouse,0
odio,2022-09-07,infobae,inhouse,0
copitos,2022-09-07,ambito,internacional,0
odio,2022-09-07,ambito,internacional,0
copitos,2022-09-07,ambito,espectaculos,0
odio,2022-09-07,ambito,espectaculos,0
copitos,2022-09-07,ambito,finanzas,0
odio,2022-09-07,ambito,finanzas,0
copitos,2022-09-07,todonoticias,espectaculos,0
odio,2022-09-07,todonoticias,espectaculos,0
copitos,2022-09-07,todonoticias,economia,0
odio,2022-09-07,todonoticias,economia,0
copitos,2022-09-07,todonoticias,sociedad,0
odio,2022-09-07,todonoticias,sociedad,0
copitos,2022-09-07,paginadoce,politica,0
odio,2022-09-07,paginadoce,politica,0
copitos,2022-09-07,paginadoce,espectaculos,0
odio,2022-09-07,paginadoce,espectaculos,0
copitos,2022-09-07,infobae,espectaculos,0
odio,2022-09-07,infobae,espectaculos,0
copitos,2022-09-07,infobae,cultura,0
odio,2022-09-07,infobae,cultura,0
copitos,2022-09-07,infobae,opinion,0
odio,2022-09-07,infobae,opinion,3
copitos,2022-09-07,ambito,politica,0
odio,2022-09-07,ambito,politica,4
copitos,2022-09-07,ambito,deportes,0
odio,2022-09-07,ambito,deportes,0
copitos,2022-09-07,ambito,nacional,0
odio,2022-09-07,ambito,nacional,1
copitos,2022-09-07,paginadoce,sociedad,0
odio,2022-09-07,paginadoce,sociedad,0
copitos,2022-09-07,clarin,politica,1
odio,2022-09-07,clarin,politica,10
copitos,2022-09-07,infobae,deportes,0
odio,2022-09-07,infobae,deportes,0
copitos,2022-09-07,todonoticias,musica,0
odio,2022-09-07,todonoticias,musica,0
copitos,2022-09-07,infobae,economia,0
odio,2022-09-07,infobae,economia,0
copitos,2022-09-07,infobae,sociedad,1
odio,2022-09-07,infobae,sociedad,0
copitos,2022-09-07,infobae,politica,1
odio,2022-09-07,infobae,politica,16
copitos,2022-09-07,perfil,sociedad,0
odio,2022-09-07,perfil,sociedad,0
copitos,2022-09-07,eldestape,deportes,0
odio,2022-09-07,eldestape,deportes,0
copitos,2022-09-07,infobae,salud,0
odio,2022-09-07,infobae,salud,0
copitos,2022-09-07,clarin,economia,0
odio,2022-09-07,clarin,economia,0
copitos,2022-09-07,clarin,internacional,0
odio,2022-09-07,clarin,internacional,0
copitos,2022-09-07,clarin,deportes,0
odio,2022-09-07,clarin,deportes,0
