topico,fecha,diario,seccion,freq
zelensky,2022-03-21,ambito,politica,0
putin,2022-03-21,ambito,politica,0
zelensky,2022-03-21,ambito,economia,1
putin,2022-03-21,ambito,economia,0
zelensky,2022-03-21,ambito,internacional,8
putin,2022-03-21,ambito,internacional,1
zelensky,2022-03-21,ambito,deportes,0
putin,2022-03-21,ambito,deportes,0
zelensky,2022-03-21,ambito,espectaculos,0
putin,2022-03-21,ambito,espectaculos,0
zelensky,2022-03-21,ambito,finanzas,1
putin,2022-03-21,ambito,finanzas,0
zelensky,2022-03-21,ambito,opinion,0
putin,2022-03-21,ambito,opinion,0
zelensky,2022-03-21,ambito,nacional,0
putin,2022-03-21,ambito,nacional,0
zelensky,2022-03-21,todonoticias,economia,0
putin,2022-03-21,todonoticias,economia,0
zelensky,2022-03-21,paginadoce,rosario12,0
putin,2022-03-21,paginadoce,rosario12,0
zelensky,2022-03-21,paginadoce,sociedad,0
putin,2022-03-21,paginadoce,sociedad,0
zelensky,2022-03-21,todonoticias,sociedad,0
putin,2022-03-21,todonoticias,sociedad,0
zelensky,2022-03-21,eldestape,politica,0
putin,2022-03-21,eldestape,politica,0
zelensky,2022-03-21,eldestape,economia,1
putin,2022-03-21,eldestape,economia,0
zelensky,2022-03-21,eldestape,internacional,36
putin,2022-03-21,eldestape,internacional,17
zelensky,2022-03-21,eldestape,sociedad,0
putin,2022-03-21,eldestape,sociedad,0
zelensky,2022-03-21,infobae,espectaculos,0
putin,2022-03-21,infobae,espectaculos,0
zelensky,2022-03-21,clarin,espectaculos,0
putin,2022-03-21,clarin,espectaculos,0
zelensky,2022-03-21,infobae,internacional,109
putin,2022-03-21,infobae,internacional,116
zelensky,2022-03-21,clarin,deportes,0
putin,2022-03-21,clarin,deportes,1
zelensky,2022-03-21,paginadoce,politica,0
putin,2022-03-21,paginadoce,politica,0
zelensky,2022-03-21,paginadoce,espectaculos,0
putin,2022-03-21,paginadoce,espectaculos,0
zelensky,2022-03-21,perfil,deportes,0
putin,2022-03-21,perfil,deportes,0
zelensky,2022-03-21,lanacion,espectaculos,3
putin,2022-03-21,lanacion,espectaculos,0
zelensky,2022-03-21,lanacion,politica,0
putin,2022-03-21,lanacion,politica,6
zelensky,2022-03-21,clarin,internacional,12
putin,2022-03-21,clarin,internacional,27
zelensky,2022-03-21,lanacion,lifestyle,0
putin,2022-03-21,lanacion,lifestyle,0
zelensky,2022-03-21,infobae,cultura,0
putin,2022-03-21,infobae,cultura,0
zelensky,2022-03-21,todonoticias,espectaculos,0
putin,2022-03-21,todonoticias,espectaculos,0
zelensky,2022-03-21,lanacion,internacional,2
putin,2022-03-21,lanacion,internacional,12
zelensky,2022-03-21,lanacion,economia,0
putin,2022-03-21,lanacion,economia,0
zelensky,2022-03-21,infobae,deportes,0
putin,2022-03-21,infobae,deportes,0
zelensky,2022-03-21,infobae,politica,0
putin,2022-03-21,infobae,politica,24
